"x, mkm","Potential energy, eV, VCh=0.21, VSG=-0.36","Potential energy, eV, VCh=0.24, VSG=-0.27"
14.3,-0.08709,-0.12999
14.4,-0.08709,-0.12999
14.5,-0.0871,-0.12999
14.6,-0.0871,-0.13
14.7,-0.08711,-0.13
14.8,-0.08712,-0.13001
14.9,-0.08712,-0.13002
15,-0.08713,-0.13002
15.1,-0.08714,-0.13003
15.2,-0.08714,-0.13003
15.3,-0.08715,-0.13004
15.4,-0.08715,-0.13004
15.5,-0.08715,-0.13004
15.6,-0.08715,-0.13004
15.7,-0.08716,-0.13005
15.8,-0.08716,-0.13005
15.9,-0.08717,-0.13005
16,-0.08717,-0.13006
16.1,-0.08718,-0.13006
16.2,-0.08718,-0.13007
16.3,-0.08719,-0.13007
16.4,-0.08719,-0.13008
16.5,-0.0872,-0.13008
16.6,-0.0872,-0.13008
16.7,-0.08721,-0.13009
16.8,-0.08722,-0.13009
16.9,-0.08722,-0.1301
17,-0.08723,-0.1301
17.1,-0.08723,-0.13011
17.2,-0.08724,-0.13011
17.3,-0.08724,-0.13012
17.4,-0.08725,-0.13012
17.5,-0.08726,-0.13013
17.6,-0.08726,-0.13013
17.7,-0.08726,-0.13013
17.8,-0.08726,-0.13013
17.9,-0.08727,-0.13014
18,-0.08727,-0.13014
18.1,-0.08728,-0.13014
18.2,-0.08728,-0.13015
18.3,-0.08729,-0.13015
18.4,-0.0873,-0.13016
18.5,-0.0873,-0.13017
18.6,-0.08731,-0.13017
18.7,-0.08731,-0.13017
18.8,-0.08731,-0.13017
18.9,-0.08732,-0.13018
19,-0.08732,-0.13018
19.1,-0.08732,-0.13018
19.2,-0.08732,-0.13018
19.3,-0.08732,-0.13018
19.4,-0.08733,-0.13018
19.5,-0.08733,-0.13019
19.6,-0.08733,-0.13019
19.7,-0.08733,-0.13019
19.8,-0.08734,-0.13019
19.9,-0.08734,-0.1302
20,-0.08735,-0.1302
20.1,-0.08735,-0.1302
20.2,-0.08736,-0.13021
20.3,-0.08736,-0.13021
20.4,-0.08737,-0.13022
20.5,-0.08737,-0.13022
20.6,-0.08738,-0.13023
20.7,-0.08739,-0.13023
20.8,-0.08739,-0.13024
20.9,-0.0874,-0.13024
21,-0.08741,-0.13025
21.1,-0.08742,-0.13026
21.2,-0.08743,-0.13027
21.3,-0.08744,-0.13028
