"Tank pressure, bar","Condensed,mbar","liquid, cc","Freq. fit, Hz","Freq. max, Hz",Q
0.57235,4.84714,0.2984,874777.749,874812.5,1251.14464
0.57235,4.84937,0.29854,874777.4897,874762.5,1246.72248
0.57231,4.88599,0.30079,874779.0186,874787.5,1251.8021
0.57231,4.88471,0.30072,874779.4847,874800,1250.50208
0.57227,4.92501,0.3032,874777.9321,874800,1244.24073
0.57227,4.92565,0.30324,874778.4865,874825,1245.81045
0.57223,4.96706,0.30578,874778.0082,874812.5,1255.84941
0.57222,4.97681,0.30639,874777.0687,874812.5,1247.76577
0.57223,4.96515,0.30567,874780.2373,874787.5,1251.39028
0.57219,5.0072,0.30826,874777.4923,874787.5,1254.68663
0.57215,5.0411,0.31034,874779.0439,874825,1245.87694
0.57215,5.04686,0.3107,874778.3072,874812.5,1251.46761
0.57215,5.0483,0.31079,874777.4003,874812.5,1238.41773
0.57211,5.08044,0.31276,874779.4927,874787.5,1250.17873
0.57208,5.11226,0.31472,874779.9928,874812.5,1252.03133
0.57207,5.12569,0.31555,874776.6907,874750,1246.74217
0.5721,5.09675,0.31377,874779.2888,874775,1246.35045
0.57207,5.12777,0.31568,874777.0648,874800,1245.63275
0.57203,5.16135,0.31775,874781.0493,874762.5,1244.99283
0.57203,5.16871,0.3182,874776.6157,874812.5,1247.3523
0.57202,5.17479,0.31857,874776.4846,874800,1246.44951
0.57199,5.20581,0.32048,874777.953,874762.5,1251.64456
0.57195,5.24786,0.32307,874775.5478,874762.5,1253.16047
0.57198,5.21284,0.32092,874778.5586,874825,1245.14982
0.57195,5.24786,0.32307,874777.2785,874837.5,1250.51112
0.57194,5.25057,0.32324,874777.1042,874825,1243.2864
0.57191,5.28864,0.32558,874778.9432,874862.5,1247.86797
0.57191,5.28816,0.32555,874773.1886,874800,1250.45134
0.57187,5.32718,0.32795,874776.853,874787.5,1250.10605
0.57187,5.32974,0.32811,874776.1585,874787.5,1246.03284
0.57187,5.32718,0.32795,874776.5893,874875,1247.71422
0.57181,5.38106,0.33127,874776.5405,874775,1247.03675
0.57187,5.32814,0.32801,874779.0904,874787.5,1247.84502
0.57179,5.40825,0.33295,874777.764,874812.5,1247.18234
0.57176,5.43879,0.33483,874777.1182,874800,1249.14676
0.57175,5.44662,0.33531,874777.8611,874812.5,1243.3363
0.57175,5.44695,0.33533,874777.7216,874762.5,1240.92134
0.57171,5.48869,0.3379,874777.6028,874787.5,1241.4987
0.57171,5.48532,0.33769,874779.9458,874787.5,1248.47704
0.57167,5.52562,0.34017,874777.6901,874812.5,1243.95764
0.57167,5.52419,0.34008,874776.7532,874787.5,1245.84459
0.57167,5.52659,0.34023,874776.5937,874875,1249.42525
0.57163,5.5672,0.34273,874775.2124,874825,1249.85334
0.57162,5.57759,0.34337,874776.7799,874787.5,1244.40784
0.57159,5.6043,0.34501,874776.7806,874850,1241.9647
0.57159,5.60701,0.34518,874776.5057,874825,1252.88176
0.57159,5.6067,0.34516,874778.7561,874800,1245.45676
0.57155,5.64635,0.3476,874777.0063,874812.5,1249.39539
0.57155,5.64764,0.34768,874776.7043,874737.5,1245.05819
0.57155,5.64715,0.34765,874778.3191,874875,1248.02253
0.57151,5.68729,0.35012,874777.1419,874775,1238.41495
0.57151,5.68745,0.35013,874778.2743,874775,1254.20861
0.5715,5.69912,0.35085,874776.5306,874775,1251.81256
0.57147,5.72679,0.35256,874778.0272,874812.5,1242.25196
0.57143,5.76789,0.35509,874777.7961,874812.5,1243.1206
0.57142,5.77507,0.35553,874776.375,874750,1241.54404
0.57139,5.80802,0.35756,874777.5053,874787.5,1249.07697
0.57139,5.80962,0.35766,874778.1969,874750,1244.34422
0.57135,5.84911,0.36009,874779.5347,874837.5,1250.72356
0.57135,5.84831,0.36004,874776.5197,874800,1246.20829
0.5713,5.89101,0.36267,874778.2159,874762.5,1245.18846
0.5713,5.89021,0.36262,874775.7012,874800,1247.69063
0.57126,5.93051,0.3651,874776.9325,874850,1251.13281
0.57127,5.92907,0.36501,874777.6331,874800,1246.53565
0.57126,5.93002,0.36507,874775.9192,874787.5,1249.84012
0.57123,5.96873,0.36745,874777.3931,874825,1247.0094
0.57122,5.96985,0.36752,874776.8727,874862.5,1245.8832
0.5712,5.99895,0.36931,874774.9435,874775,1241.87111
0.57119,6.00982,0.36998,874777.6511,874837.5,1247.37817
0.57118,6.00999,0.36999,874776.4353,874800,1248.80901
0.57114,6.05013,0.37246,874776.742,874737.5,1252.34863
0.57115,6.04964,0.37243,874778.9569,874850,1244.11811
0.57114,6.05316,0.37265,874777.846,874787.5,1244.60875
0.57111,6.0893,0.37487,874776.2559,874837.5,1244.26433
0.57108,6.11936,0.37672,874775.2802,874800,1243.13337
0.57106,6.13055,0.37741,874777.2679,874812.5,1246.36603
0.57106,6.13215,0.37751,874776.8573,874750,1247.67882
0.57107,6.12975,0.37736,874776.7242,874812.5,1242.80407
0.57106,6.13007,0.37738,874777.1903,874800,1246.24732
0.57102,6.17229,0.37998,874777.4872,874787.5,1247.89153
0.57102,6.17181,0.37995,874779.0403,874837.5,1245.35584
0.57098,6.21082,0.38235,874776.7954,874775,1245.18518
0.57098,6.21082,0.38235,874776.4095,874787.5,1247.84456
0.57098,6.21066,0.38234,874775.4995,874850,1250.53208
0.57094,6.25,0.38477,874777.4573,874775,1250.69588
0.57094,6.25416,0.38502,874774.6532,874812.5,1248.95446
0.5709,6.2919,0.38735,874776.2301,874825,1248.72926
0.5709,6.29046,0.38726,874775.5436,874812.5,1246.61275
0.57086,6.3314,0.38978,874777.3618,874775,1242.82364
0.57086,6.33044,0.38972,874777.5854,874825,1250.02512
